epoch,accuracy,step,loss,validation_epoch_average
0,0.7899999618530273,49,0.7973403334617615,
0,0.9199999570846558,99,0.4219391644001007,
0,0.8899999856948853,149,0.39839786291122437,
0,0.949999988079071,199,0.21137060225009918,
0,0.949999988079071,249,0.2315942645072937,
0,0.9099999666213989,299,0.2666335999965668,
0,0.8899999856948853,349,0.3196925222873688,
0,0.9300000071525574,399,0.22262166440486908,
0,0.9199999570846558,449,0.2544257938861847,
0,0.9300000071525574,499,0.31537091732025146,
0,0.9300000071525574,549,0.24424268305301666,
0,0.9199999570846558,599,0.2560444176197052,
0,,599,,0.21753203868865967
1,0.9300000071525574,649,0.20432430505752563,
1,0.9699999690055847,699,0.13327206671237946,
1,0.9399999976158142,749,0.1876465082168579,
1,0.9300000071525574,799,0.2632552683353424,
1,0.9199999570846558,849,0.27857181429862976,
1,0.9300000071525574,899,0.23759868741035461,
1,0.9899999499320984,949,0.07683766633272171,
1,0.9199999570846558,999,0.22731570899486542,
1,0.9699999690055847,1049,0.08127641677856445,
1,0.9300000071525574,1099,0.24418672919273376,
1,0.9799999594688416,1149,0.09848278760910034,
1,0.9799999594688416,1199,0.11267115920782089,
1,,1199,,0.16833004355430603
2,0.9399999976158142,1249,0.13703276216983795,
2,0.9599999785423279,1299,0.10211209207773209,
2,0.949999988079071,1349,0.11120575666427612,
2,0.9599999785423279,1399,0.08965715765953064,
2,0.9799999594688416,1449,0.07779831439256668,
2,0.9799999594688416,1499,0.07454755902290344,
2,0.949999988079071,1549,0.11705268174409866,
2,0.9699999690055847,1599,0.07768359035253525,
2,0.9699999690055847,1649,0.09824064373970032,
2,0.949999988079071,1699,0.1319681853055954,
2,0.9599999785423279,1749,0.12735341489315033,
2,0.949999988079071,1799,0.18043695390224457,
2,,1799,,0.13133694231510162
3,0.9799999594688416,1849,0.10005054622888565,
3,0.9799999594688416,1899,0.06809760630130768,
3,0.9599999785423279,1949,0.10030157119035721,
3,0.9699999690055847,1999,0.15097200870513916,
3,0.949999988079071,2049,0.1330874115228653,
3,0.9699999690055847,2099,0.10250956565141678,
3,0.9799999594688416,2149,0.09912634640932083,
3,0.949999988079071,2199,0.19288921356201172,
3,0.9799999594688416,2249,0.12146224081516266,
3,0.9399999976158142,2299,0.2562211751937866,
3,0.9699999690055847,2349,0.12456594407558441,
3,0.9599999785423279,2399,0.13394010066986084,
3,,2399,,0.11410042643547058
4,0.9699999690055847,2449,0.1334681361913681,
4,0.9699999690055847,2499,0.11438023298978806,
4,0.9799999594688416,2549,0.0805547684431076,
4,0.9799999594688416,2599,0.05727193504571915,
4,1.0,2649,0.029968244954943657,
4,0.9899999499320984,2699,0.07668526470661163,
4,0.9399999976158142,2749,0.1619134396314621,
4,0.9599999785423279,2799,0.1931048333644867,
4,0.9599999785423279,2849,0.08390960097312927,
4,0.9599999785423279,2899,0.158797949552536,
4,0.9599999785423279,2949,0.18074466288089752,
4,0.9599999785423279,2999,0.09495978057384491,
4,,2999,,0.10254890471696854
5,0.9599999785423279,3049,0.1141912043094635,
5,0.9799999594688416,3099,0.10529998689889908,
5,0.9699999690055847,3149,0.047210417687892914,
5,0.949999988079071,3199,0.1160733699798584,
5,1.0,3249,0.020503327250480652,
5,0.9799999594688416,3299,0.0989617332816124,
5,0.9899999499320984,3349,0.046598587185144424,
5,0.9799999594688416,3399,0.06018456816673279,
5,0.9699999690055847,3449,0.09792391955852509,
5,0.9799999594688416,3499,0.052535589784383774,
5,0.9699999690055847,3549,0.08727898448705673,
5,0.9799999594688416,3599,0.07664971798658371,
5,,3599,,0.0975199043750763
6,0.9799999594688416,3649,0.07939642667770386,
6,0.9799999594688416,3699,0.07325129956007004,
6,0.9699999690055847,3749,0.1372741460800171,
6,0.9699999690055847,3799,0.12414376437664032,
6,0.9799999594688416,3849,0.09732823073863983,
6,0.9799999594688416,3899,0.042519912123680115,
6,0.9699999690055847,3949,0.06580761075019836,
6,0.9699999690055847,3999,0.099667988717556,
6,1.0,4049,0.027012670412659645,
6,1.0,4099,0.009161850437521935,
6,0.9799999594688416,4149,0.05197085067629814,
6,0.9599999785423279,4199,0.1408665031194687,
6,,4199,,0.08699502050876617
7,0.9899999499320984,4249,0.04349793493747711,
7,0.9799999594688416,4299,0.10963007062673569,
7,0.9899999499320984,4349,0.04235571250319481,
7,0.9699999690055847,4399,0.11230497062206268,
7,0.9899999499320984,4449,0.07621853053569794,
7,0.9699999690055847,4499,0.05809489265084267,
7,0.9799999594688416,4549,0.09886739403009415,
7,0.9799999594688416,4599,0.08097605407238007,
7,1.0,4649,0.015187246724963188,
7,0.9699999690055847,4699,0.06786356121301651,
7,0.9699999690055847,4749,0.10145366936922073,
7,0.9899999499320984,4799,0.025384800508618355,
7,,4799,,0.08624657243490219
8,1.0,4849,0.01271544024348259,
8,0.9799999594688416,4899,0.062075186520814896,
8,1.0,4949,0.009534944780170918,
8,0.9899999499320984,4999,0.021842479705810547,
8,0.9899999499320984,5049,0.04165463522076607,
8,0.9899999499320984,5099,0.023896563798189163,
8,1.0,5149,0.018436511978507042,
8,0.9799999594688416,5199,0.04288453236222267,
8,0.9899999499320984,5249,0.07269150763750076,
8,0.9899999499320984,5299,0.03833221271634102,
8,0.9699999690055847,5349,0.0567999891936779,
8,1.0,5399,0.006039423868060112,
8,,5399,,0.08063573390245438
9,1.0,5449,0.019042884930968285,
9,0.9899999499320984,5499,0.036213018000125885,
9,1.0,5549,0.020493388175964355,
9,0.9899999499320984,5599,0.016025198623538017,
9,0.9799999594688416,5649,0.12799043953418732,
9,0.949999988079071,5699,0.1588440090417862,
9,0.9799999594688416,5749,0.051051393151283264,
9,1.0,5799,0.02306430973112583,
9,0.9699999690055847,5849,0.133164182305336,
9,1.0,5899,0.012737630866467953,
9,0.9799999594688416,5949,0.06362119317054749,
9,0.9699999690055847,5999,0.11068082600831985,
9,,5999,,0.07614235579967499
10,1.0,6049,0.03628598526120186,
10,1.0,6099,0.019824661314487457,
