step,epoch,loss,accuracy,validation_epoch_average
49,0,0.7769227027893066,0.7999999523162842,
99,0,0.37298840284347534,0.8399999737739563,
149,0,0.4561336934566498,0.85999995470047,
199,0,0.351364403963089,0.9199999570846558,
249,0,0.3553118109703064,0.8899999856948853,
299,0,0.2764972746372223,0.9099999666213989,
349,0,0.26331081986427307,0.9199999570846558,
399,0,0.3266119062900543,0.9199999570846558,
449,0,0.3542744815349579,0.9199999570846558,
499,0,0.13415727019309998,0.9699999690055847,
549,0,0.28026318550109863,0.8999999761581421,
599,0,0.19905273616313934,0.9300000071525574,
599,0,,,0.22659938037395477
649,1,0.21771612763404846,0.9199999570846558,
699,1,0.16704970598220825,0.9599999785423279,
749,1,0.18857914209365845,0.9399999976158142,
799,1,0.36019977927207947,0.8999999761581421,
849,1,0.21441957354545593,0.9399999976158142,
899,1,0.1612797975540161,0.9399999976158142,
949,1,0.11764813214540482,0.9899999499320984,
999,1,0.10672156512737274,0.9799999594688416,
1049,1,0.2325565665960312,0.9199999570846558,
1099,1,0.12471973150968552,0.9799999594688416,
1149,1,0.30762621760368347,0.9300000071525574,
1199,1,0.1760692447423935,0.9199999570846558,
1199,1,,,0.1671622097492218
1249,2,0.10103189200162888,0.9599999785423279,
1299,2,0.133538156747818,0.949999988079071,
1349,2,0.11202780902385712,0.9799999594688416,
1399,2,0.13041378557682037,0.9599999785423279,
1449,2,0.17667172849178314,0.9399999976158142,
1499,2,0.19542361795902252,0.9300000071525574,
1549,2,0.1786029040813446,0.9300000071525574,
1599,2,0.12073250859975815,0.9799999594688416,
1649,2,0.2512408494949341,0.9099999666213989,
1699,2,0.08947597444057465,0.9799999594688416,
1749,2,0.13642364740371704,0.9399999976158142,
1799,2,0.18059873580932617,0.9199999570846558,
1799,2,,,0.12781809270381927
1849,3,0.08390551805496216,0.9799999594688416,
1899,3,0.06350865960121155,0.9799999594688416,
1949,3,0.1562391072511673,0.949999988079071,
1999,3,0.11493073403835297,0.9699999690055847,
2049,3,0.06580206751823425,0.9899999499320984,
2099,3,0.07698515057563782,0.9699999690055847,
2149,3,0.12342234700918198,0.9399999976158142,
2199,3,0.16128122806549072,0.949999988079071,
2249,3,0.1673782914876938,0.9699999690055847,
2299,3,0.06561902165412903,0.9899999499320984,
2349,3,0.24547263979911804,0.949999988079071,
2399,3,0.052421435713768005,0.9899999499320984,
2399,3,,,0.11684227734804153
2449,4,0.07096095383167267,0.9699999690055847,
2499,4,0.04590720683336258,0.9899999499320984,
2549,4,0.10416178405284882,0.9699999690055847,
2599,4,0.053431615233421326,0.9899999499320984,
2649,4,0.051733922213315964,0.9899999499320984,
2699,4,0.07862590998411179,0.9699999690055847,
2749,4,0.05958780646324158,0.9799999594688416,
2799,4,0.0870230570435524,0.9799999594688416,
2849,4,0.09579929709434509,0.9699999690055847,
2899,4,0.19901758432388306,0.9799999594688416,
2949,4,0.051604464650154114,0.9799999594688416,
2999,4,0.068612240254879,0.9799999594688416,
2999,4,,,0.09823109209537506
3049,5,0.08014404028654099,0.9899999499320984,
3099,5,0.07325154542922974,0.9599999785423279,
3149,5,0.12796896696090698,0.9599999785423279,
3199,5,0.08571351319551468,0.9699999690055847,
3249,5,0.04006695747375488,0.9899999499320984,
3299,5,0.026557911187410355,1.0,
3349,5,0.028378808870911598,1.0,
3399,5,0.03412757068872452,0.9899999499320984,
3449,5,0.05660782381892204,0.9899999499320984,
3499,5,0.05716477707028389,0.9799999594688416,
3549,5,0.09216947853565216,0.9699999690055847,
3599,5,0.07815990597009659,0.9799999594688416,
3599,5,,,0.09393712133169174
3649,6,0.08485119789838791,0.9699999690055847,
3699,6,0.05743763968348503,0.9799999594688416,
3749,6,0.05340327322483063,0.9799999594688416,
3799,6,0.060368701815605164,0.9899999499320984,
3849,6,0.053937047719955444,0.9899999499320984,
3899,6,0.06361430883407593,0.9599999785423279,
3949,6,0.06100844219326973,0.9699999690055847,
3999,6,0.05680067464709282,0.9799999594688416,
4049,6,0.06169610098004341,0.9699999690055847,
4099,6,0.10444341599941254,0.9699999690055847,
4149,6,0.13144241273403168,0.9699999690055847,
4199,6,0.05630291998386383,1.0,
4199,6,,,0.08201051503419876
4249,7,0.028993034735322,1.0,
4299,7,0.06117657572031021,0.9699999690055847,
4349,7,0.06213532015681267,0.9799999594688416,
4399,7,0.03770846500992775,0.9899999499320984,
4449,7,0.017803052440285683,1.0,
4499,7,0.018682068213820457,1.0,
4549,7,0.018895622342824936,1.0,
4599,7,0.0185933168977499,1.0,
4649,7,0.09347411245107651,0.9599999785423279,
4699,7,0.03907234966754913,0.9899999499320984,
4749,7,0.01538675557821989,1.0,
4799,7,0.06333869695663452,0.9699999690055847,
4799,7,,,0.0797668844461441
4849,8,0.03575645387172699,0.9899999499320984,
