epoch,loss,accuracy,step,validation_epoch_average
0,0.691419243812561,0.8499999642372131,49,
0,0.4640943109989166,0.85999995470047,99,
0,0.34210705757141113,0.9099999666213989,149,
0,0.33029159903526306,0.8999999761581421,199,
0,0.286490261554718,0.9199999570846558,249,
0,0.2890399098396301,0.9199999570846558,299,
0,0.2168225795030594,0.949999988079071,349,
0,0.28127458691596985,0.9399999976158142,399,
0,0.29514119029045105,0.9099999666213989,449,
0,0.34580525755882263,0.8899999856948853,499,
0,0.2724789083003998,0.9399999976158142,549,
0,0.25484785437583923,0.9199999570846558,599,
0,,,599,0.23620857298374176
1,0.12446997314691544,0.949999988079071,649,
1,0.2036868929862976,0.9399999976158142,699,
1,0.19334250688552856,0.9599999785423279,749,
1,0.21887923777103424,0.9300000071525574,799,
1,0.182167649269104,0.9399999976158142,849,
1,0.17188435792922974,0.949999988079071,899,
1,0.13420403003692627,0.9699999690055847,949,
1,0.11852377653121948,0.9399999976158142,999,
1,0.15791626274585724,0.9599999785423279,1049,
1,0.1883230209350586,0.9699999690055847,1099,
1,0.1407943218946457,0.9699999690055847,1149,
1,0.12461346387863159,0.9899999499320984,1199,
1,,,1199,0.1705046445131302
2,0.1193234920501709,0.9699999690055847,1249,
2,0.08681537955999374,0.9699999690055847,1299,
2,0.0641050636768341,0.9899999499320984,1349,
2,0.16528211534023285,0.949999988079071,1399,
2,0.13712018728256226,0.9699999690055847,1449,
2,0.3006582260131836,0.8999999761581421,1499,
2,0.1620631366968155,0.949999988079071,1549,
2,0.16459394991397858,0.9399999976158142,1599,
2,0.07590886950492859,0.9799999594688416,1649,
2,0.09126162528991699,0.9699999690055847,1699,
2,0.14372162520885468,0.9699999690055847,1749,
2,0.05993570387363434,1.0,1799,
2,,,1799,0.13280563056468964
3,0.09085112810134888,0.9799999594688416,1849,
3,0.13266918063163757,0.949999988079071,1899,
3,0.048832427710294724,1.0,1949,
3,0.12009260803461075,0.9599999785423279,1999,
3,0.17209547758102417,0.9599999785423279,2049,
3,0.11964375525712967,0.949999988079071,2099,
3,0.12462776154279709,0.9799999594688416,2149,
3,0.06894378364086151,0.9899999499320984,2199,
3,0.05549466237425804,0.9699999690055847,2249,
3,0.10015283524990082,0.9599999785423279,2299,
3,0.13627466559410095,0.9599999785423279,2349,
3,0.07104043662548065,0.9799999594688416,2399,
3,,,2399,0.11118760704994202
4,0.13567513227462769,0.9699999690055847,2449,
4,0.06462779641151428,0.9799999594688416,2499,
4,0.047698572278022766,0.9699999690055847,2549,
4,0.07062701135873795,0.9799999594688416,2599,
4,0.0854560062289238,0.9699999690055847,2649,
4,0.1287422776222229,0.9699999690055847,2699,
4,0.07387033849954605,0.9799999594688416,2749,
4,0.055872999131679535,0.9899999499320984,2799,
