accuracy,step,loss,epoch,validation_epoch_average
0.8399999737739563,49,0.6801449656486511,0,
0.9199999570846558,99,0.4132145643234253,0,
0.8799999952316284,149,0.4759472906589508,0,
0.8399999737739563,199,0.5052863955497742,0,
0.9300000071525574,249,0.3574407994747162,0,
0.9399999976158142,299,0.24107053875923157,0,
0.9300000071525574,349,0.24576815962791443,0,
0.949999988079071,399,0.2304570972919464,0,
0.949999988079071,449,0.22596508264541626,0,
0.9099999666213989,499,0.22371773421764374,0,
0.9099999666213989,549,0.20653602480888367,0,
0.9300000071525574,599,0.27316880226135254,0,
,599,,0,0.21475093066692352
0.949999988079071,649,0.20508301258087158,1,
0.9699999690055847,699,0.1397520750761032,1,
0.9199999570846558,749,0.30792567133903503,1,
0.9199999570846558,799,0.24398532509803772,1,
0.9399999976158142,849,0.1822853833436966,1,
0.9599999785423279,899,0.10064534842967987,1,
0.9599999785423279,949,0.1534939706325531,1,
0.9300000071525574,999,0.3099270462989807,1,
0.9599999785423279,1049,0.34498700499534607,1,
0.9599999785423279,1099,0.1172919049859047,1,
0.9899999499320984,1149,0.0807899758219719,1,
0.9300000071525574,1199,0.2721056342124939,1,
,1199,,1,0.15784978866577148
0.9300000071525574,1249,0.15184015035629272,2,
1.0,1299,0.04173566401004791,2,
0.949999988079071,1349,0.13392184674739838,2,
0.949999988079071,1399,0.1735442578792572,2,
0.9699999690055847,1449,0.1089952364563942,2,
0.949999988079071,1499,0.15574395656585693,2,
0.9799999594688416,1549,0.0538475476205349,2,
0.9799999594688416,1599,0.06318116933107376,2,
0.9399999976158142,1649,0.19257457554340363,2,
0.9799999594688416,1699,0.06673900783061981,2,
0.9699999690055847,1749,0.09306979179382324,2,
0.9799999594688416,1799,0.08336004614830017,2,
,1799,,2,0.13019753992557526
0.9699999690055847,1849,0.1574026644229889,3,
0.949999988079071,1899,0.10992302000522614,3,
0.949999988079071,1949,0.12466612458229065,3,
0.9599999785423279,1999,0.10290330648422241,3,
0.9899999499320984,2049,0.06100216507911682,3,
0.9699999690055847,2099,0.09575071185827255,3,
0.9599999785423279,2149,0.1119203120470047,3,
0.9399999976158142,2199,0.1450474113225937,3,
1.0,2249,0.0339505560696125,3,
0.9699999690055847,2299,0.10486791282892227,3,
0.9799999594688416,2349,0.07105695456266403,3,
0.9799999594688416,2399,0.10012657940387726,3,
,2399,,3,0.11179842054843903
0.9699999690055847,2449,0.1163269430398941,4,
0.9699999690055847,2499,0.12971892952919006,4,
0.9699999690055847,2549,0.10096021741628647,4,
0.949999988079071,2599,0.1094837412238121,4,
0.9799999594688416,2649,0.07650048285722733,4,
0.9799999594688416,2699,0.06254372745752335,4,
0.9799999594688416,2749,0.07300018519163132,4,
0.9699999690055847,2799,0.1153179183602333,4,
0.9799999594688416,2849,0.06408106535673141,4,
0.9699999690055847,2899,0.07482566684484482,4,
1.0,2949,0.026057003065943718,4,
0.9799999594688416,2999,0.07304075360298157,4,
,2999,,4,0.09666740894317627
0.9899999499320984,3049,0.044160809367895126,5,
0.949999988079071,3099,0.18067045509815216,5,
1.0,3149,0.02835022285580635,5,
0.9699999690055847,3199,0.0736827552318573,5,
0.9899999499320984,3249,0.02858869731426239,5,
0.9899999499320984,3299,0.053361836820840836,5,
0.9899999499320984,3349,0.0588953010737896,5,
0.9799999594688416,3399,0.07510625571012497,5,
0.9699999690055847,3449,0.10335793346166611,5,
0.949999988079071,3499,0.10414405167102814,5,
1.0,3549,0.02081221528351307,5,
0.9799999594688416,3599,0.04576700180768967,5,
,3599,,5,0.08950404822826385
0.9599999785423279,3649,0.10535920411348343,6,
1.0,3699,0.021405022591352463,6,
0.9599999785423279,3749,0.14023663103580475,6,
0.9599999785423279,3799,0.1212015375494957,6,
0.9899999499320984,3849,0.050117217004299164,6,
1.0,3899,0.02747403085231781,6,
0.9699999690055847,3949,0.13704735040664673,6,
