epoch,step,validation_epoch_average
0,599,0.22294670343399048
1,1199,0.1471710503101349
2,1799,0.11898364871740341
3,2399,0.10420959442853928
4,2999,0.09229232370853424
5,3599,0.08301887661218643
6,4199,0.079951211810112
7,4799,0.08026358485221863
8,5399,0.07952242344617844
9,5999,0.0728415697813034
10,6599,0.07880838215351105
11,7199,0.07435566931962967
12,7799,0.06762167066335678
13,8399,0.07037302106618881
14,8999,0.07643009722232819
15,9599,0.0747871845960617
16,10199,0.07724155485630035
17,10799,0.07787655293941498
18,11399,0.07596349716186523
19,11999,0.08798640221357346
