accuracy,epoch,step,validation_epoch_average
0.8299999833106995,0,49,
0.8799999952316284,0,99,
0.9199999570846558,0,149,
0.9099999666213989,0,199,
0.9099999666213989,0,249,
0.9300000071525574,0,299,
0.9099999666213989,0,349,
0.8999999761581421,0,399,
0.8999999761581421,0,449,
0.9399999976158142,0,499,
0.9300000071525574,0,549,
0.9300000071525574,0,599,
,0,599,0.24002709984779358
0.8899999856948853,1,649,
0.9399999976158142,1,699,
0.9399999976158142,1,749,
0.949999988079071,1,799,
0.9699999690055847,1,849,
0.9599999785423279,1,899,
0.9599999785423279,1,949,
0.8899999856948853,1,999,
0.9599999785423279,1,1049,
0.9199999570846558,1,1099,
0.949999988079071,1,1149,
0.9399999976158142,1,1199,
,1,1199,0.1739916205406189
0.9300000071525574,2,1249,
0.9699999690055847,2,1299,
0.949999988079071,2,1349,
0.9300000071525574,2,1399,
0.9699999690055847,2,1449,
0.9199999570846558,2,1499,
0.9799999594688416,2,1549,
0.9599999785423279,2,1599,
0.9699999690055847,2,1649,
0.9599999785423279,2,1699,
0.9300000071525574,2,1749,
0.949999988079071,2,1799,
,2,1799,0.13981996476650238
0.9399999976158142,3,1849,
0.949999988079071,3,1899,
0.949999988079071,3,1949,
0.9699999690055847,3,1999,
0.9699999690055847,3,2049,
0.9799999594688416,3,2099,
1.0,3,2149,
0.9699999690055847,3,2199,
0.9599999785423279,3,2249,
0.9699999690055847,3,2299,
0.9799999594688416,3,2349,
0.9599999785423279,3,2399,
,3,2399,0.11455697566270828
0.9899999499320984,4,2449,
0.9699999690055847,4,2499,
0.9799999594688416,4,2549,
0.9699999690055847,4,2599,
0.9599999785423279,4,2649,
0.9899999499320984,4,2699,
0.9799999594688416,4,2749,
1.0,4,2799,
0.9899999499320984,4,2849,
0.9699999690055847,4,2899,
0.9599999785423279,4,2949,
0.9699999690055847,4,2999,
,4,2999,0.1072370782494545
