epoch,step,loss,accuracy,validation_epoch_average
0,49,0.6761927008628845,0.8299999833106995,
0,99,0.4978603720664978,0.8499999642372131,
0,149,0.26599717140197754,0.9399999976158142,
0,199,0.27972522377967834,0.9300000071525574,
0,249,0.3865664601325989,0.9300000071525574,
0,299,0.3391629159450531,0.8899999856948853,
0,349,0.17642493546009064,0.9599999785423279,
0,399,0.28766146302223206,0.8899999856948853,
0,449,0.2669280171394348,0.9300000071525574,
0,499,0.1791146844625473,0.9599999785423279,
0,549,0.27987828850746155,0.9099999666213989,
0,599,0.12507617473602295,0.9599999785423279,
0,599,,,0.23023414611816406
1,649,0.2294815182685852,0.9399999976158142,
1,699,0.17869478464126587,0.949999988079071,
1,749,0.12376278638839722,0.9599999785423279,
1,799,0.2043951451778412,0.949999988079071,
1,849,0.4287845492362976,0.8700000047683716,
1,899,0.23183640837669373,0.9199999570846558,
1,949,0.1172696128487587,0.949999988079071,
1,999,0.12892158329486847,0.9799999594688416,
1,1049,0.13549911975860596,0.9699999690055847,
1,1099,0.1715088039636612,0.9599999785423279,
1,1149,0.2002793848514557,0.949999988079071,
1,1199,0.1563391238451004,0.9699999690055847,
1,1199,,,0.16424600780010223
2,1249,0.09584073722362518,0.9899999499320984,
2,1299,0.05380839854478836,0.9799999594688416,
2,1349,0.06989368796348572,0.9899999499320984,
2,1399,0.10160985589027405,0.9899999499320984,
2,1449,0.08761654049158096,0.9899999499320984,
2,1499,0.13077181577682495,0.9599999785423279,
2,1549,0.10447556525468826,0.9599999785423279,
2,1599,0.07592901587486267,0.9699999690055847,
2,1649,0.17221923172473907,0.9599999785423279,
2,1699,0.11853707581758499,0.9699999690055847,
2,1749,0.1285761147737503,0.949999988079071,
2,1799,0.14635969698429108,0.9599999785423279,
2,1799,,,0.13173800706863403
3,1849,0.060974813997745514,0.9799999594688416,
3,1899,0.0711149349808693,0.9799999594688416,
3,1949,0.12789948284626007,0.9699999690055847,
3,1999,0.05320390313863754,0.9899999499320984,
3,2049,0.07025815546512604,0.9799999594688416,
3,2099,0.07737051695585251,0.9599999785423279,
3,2149,0.07908731698989868,0.9699999690055847,
3,2199,0.1118958592414856,0.9799999594688416,
3,2249,0.1232268437743187,0.949999988079071,
3,2299,0.05087468773126602,0.9899999499320984,
3,2349,0.11975577473640442,0.9599999785423279,
3,2399,0.15883097052574158,0.949999988079071,
3,2399,,,0.11311943084001541
4,2449,0.1872357428073883,0.9599999785423279,
4,2499,0.06723184138536453,0.9899999499320984,
4,2549,0.21826671063899994,0.9599999785423279,
4,2599,0.10933594405651093,0.9699999690055847,
4,2649,0.0637701079249382,0.9799999594688416,
4,2699,0.1474134474992752,0.9599999785423279,
4,2749,0.10992742329835892,0.9799999594688416,
4,2799,0.0649460107088089,0.9799999594688416,
4,2849,0.06942412257194519,0.9699999690055847,
4,2899,0.08487723022699356,0.9899999499320984,
4,2949,0.08734042942523956,0.9799999594688416,
4,2999,0.09106229990720749,0.949999988079071,
4,2999,,,0.10122239589691162
5,3049,0.11871051788330078,0.9599999785423279,
5,3099,0.057425178587436676,0.9699999690055847,
5,3149,0.04831557348370552,0.9799999594688416,
5,3199,0.15038429200649261,0.9699999690055847,
